Question,Answer
What is the capital of France?,Paris,Marseille,Lyon
What is the largest planet in our solar system?,Jupiter,Saturn,Uranus
What is the highest mountain in the world?,Mount Everest,K2,Kangchenjunga
What is the largest country in the world?,Russia,Canada,China
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean
What is the largest continent in the world?,Asia,Africa,Australia
What is the largest city in the world?,Tokyo,New York City,Mumbai
What is the largest river in the world?,Amazon River,Nile River,Yangtze River
What is the largest lake in the world?,Caspian Sea,Lake Superior,Lake Victoria
What is the largest desert in the world?,Sahara Desert,Arabian Desert,Gobi Desert
