Вопрос, Ответ, Правильный ответ
Какая столица Франции?,Париж,Марсель,Лион,1
Какая самая большая планета в нашей Солнечной системе?,Юпитер,Сатурн,Уран,1
Какая самая высокая гора в мире?,Эверест,K2,Канченджанга,1
Какая самая большая страна в мире?,Россия,Канада,Китай,1
Какой самый большой океан в мире?,Тихий океан,Атлантический океан,Индийский океан,1
Какой самый большой континент в мире?,Азия,Африка,Австралия,1
Какой самый большой город в мире?,Токио,Нью-Йорк,Мумбаи,1
Какая самая большая река в мире?,Река Амазонка,Река Нил,Река Янцзы,1
Какое самое большое озеро в мире?,Каспийское море,Верхнее озеро,Озеро Виктория,1
Какая самая большая пустыня в мире?,Пустыня Сахара,Аравийская пустыня,Пустыня Гоби,1
