Question,Answer,IsCorrect
What is the capital of France?,Paris,Marseille,Lyon,1
What is the largest planet in our solar system?,Jupiter,Saturn,Uranus,1
What is the highest mountain in the world?,Mount Everest,K2,Kangchenjunga,1
What is the largest country in the world?,Russia,Canada,China,1
What is the largest ocean in the world?,Pacific Ocean,Atlantic Ocean,Indian Ocean,1
What is the largest continent in the world?,Asia,Africa,Australia,1
What is the largest city in the world?,Tokyo,New York City,Mumbai,1
What is the largest river in the world?,Amazon River,Nile River,Yangtze River,1
What is the largest lake in the world?,Caspian Sea,Lake Superior,Lake Victoria,1
What is the largest desert in the world?,Sahara Desert,Arabian Desert,Gobi Desert,1
